Temps t / s;Tension U_A1 / V;Tension U_B1 / V
-0,106;5,53;4,24
-0,0960000000000001;5,5;4,26
-0,0830000000000002;5,515;4,245
-0,0720000000000001;5,52;4,23
-0,0600000000000005;5,505;4,23
-0,0490000000000004;5,53;4,245
-0,0369999999999999;5,51;4,25
-0,024;5,52;4,245
-0,0110000000000001;5,51;4,255
0;6,11;4,265
0,0149999999999997;6,545;4,25
0,0369999999999999;6,55;4,245
0,048;6,54;4,24
0,0590000000000002;6,54;4,265
0,0700000000000003;6,55;4,285
0,0819999999999999;6,54;4,29
0,0949999999999998;6,53;4,32
0,108;6,55;4,34
0,12;6,535;4,38
0,133;6,54;4,41
0,146;6,515;4,455
0,159;6,535;4,505
0,172;6,54;4,57
0,185;6,525;4,615
0,197;6,545;4,67
0,209;6,54;4,73
0,222;6,525;4,785
0,235;6,525;4,82
0,247;6,535;4,86
0,26;6,54;4,905
0,272;6,54;4,955
0,286;6,525;5,005
0,297;6,545;5,02
0,309;6,525;5,065
0,322;6,535;5,085
0,335;6,535;5,105
0,348;6,525;5,14
0,361;6,535;5,185
0,373;6,55;5,195
0,385;6,525;5,22
0,398;6,53;5,23
0,411;6,525;5,25
0,423;6,54;5,25
0,435;6,535;5,295
0,456;6,535;5,31
0,466;6,535;5,315
0,48;6,535;5,345
0,491;6,525;5,345
0,504;6,52;5,36
0,517;6,545;5,35
0,53;6,53;5,385
0,543;6,54;5,385
0,555;6,515;5,39
0,568;6,55;5,4
0,581;6,525;5,415
0,594;6,535;5,4
0,607;6,535;5,41
0,619;6,55;5,43
0,63;6,525;5,43
0,641;6,54;5,435
0,652;6,545;5,445
0,663;6,53;5,435
0,674;6,525;5,45
0,686;6,535;5,445
0,698;6,55;5,44
0,709;6,525;5,44
0,721;6,53;5,455
0,732;6,545;5,445
0,744;6,525;5,435
0,755;6,52;5,445
0,766;6,53;5,445
0,778;6,525;5,46
0,791;6,55;5,475
0,801;6,54;5,465
0,813;6,53;5,455
0,824;6,545;5,46
0,836;6,53;5,47
0,848;6,54;5,455
0,861;6,525;5,455
0,881;6,54;5,465
0,893;6,54;5,475
0,905;6,515;5,48
0,918;6,525;5,49
0,93;6,53;5,485
0,942;6,525;5,47
0,953;6,525;5,455
0,966;6,545;5,46
0,977;6,545;5,475
0,99;6,525;5,485
1,002;6,535;5,49
1,013;6,525;5,48
1,024;6,54;5,48
1,035;6,535;5,48
1,047;6,545;5,48
1,06;6,54;5,465
1,073;6,54;5,48
1,088;6,535;5,49
1,1;6,53;5,505
1,111;6,525;5,49
1,123;6,535;5,485
1,137;6,545;5,475
1,149;6,54;5,495
1,161;6,55;5,5
1,173;6,55;5,485
1,185;6,53;5,48
1,198;6,545;5,48
1,21;6,545;5,47
1,223;6,54;5,48
1,234;6,525;5,47
1,244;6,525;5,47
1,255;6,515;5,47
1,267;6,545;5,48
1,281;6,545;5,485
1,301;6,525;5,495
1,312;6,525;5,475
1,323;6,545;5,47
1,335;6,525;5,47
1,346;6,53;5,475
1,356;6,525;5,46
1,368;6,55;5,465
1,379;6,53;5,455
1,391;6,545;5,47
1,402;6,54;5,465
1,413;6,525;5,46
1,425;6,53;5,475
1,436;6,535;5,48
1,448;6,535;5,485
1,461;6,54;5,485
1,473;6,525;5,48
1,485;6,53;5,465
1,497;6,545;5,46
1,509;6,545;5,48
1,522;6,535;5,49
1,535;6,525;5,48
1,548;6,545;5,47
1,561;6,525;5,48
1,574;6,525;5,49
1,587;6,525;5,49
1,599;6,53;5,49
1,613;6,535;5,48
1,625;6,525;5,5
1,638;6,525;5,51
1,65;6,525;5,505
1,663;6,54;5,48
1,676;6,545;5,49
1,689;6,535;5,52
1,703;6,535;5,515
1,724;6,525;5,515
1,736;6,545;5,52
1,747;6,53;5,51
1,76;6,535;5,515
1,773;6,54;5,54
1,786;6,525;5,535
1,799;6,535;5,53
1,811;6,525;5,525
1,823;6,525;5,52
1,834;6,53;5,53
1,846;6,535;5,545
1,857;6,525;5,54
1,869;6,545;5,555
1,88;6,535;5,535
1,893;6,525;5,53
1,905;6,535;5,525
1,918;6,54;5,535
1,931;6,545;5,535
1,944;6,525;5,53
1,957;6,54;5,525
1,971;6,54;5,535
1,983;6,525;5,515
1,995;6,53;5,525
2,008;6,545;5,53
2,021;6,535;5,515
2,033;6,525;5,515
2,046;6,545;5,54
2,059;6,545;5,54
2,071;6,535;5,52
2,084;6,525;5,515
2,096;6,54;5,515
2,108;6,535;5,515
2,119;6,55;5,535
2,132;6,525;5,525
2,151;6,55;5,525
2,164;6,535;5,515
2,176;6,55;5,52
2,189;6,545;5,525
2,202;6,535;5,505
2,214;6,525;5,525
2,227;6,525;5,54
2,239;6,545;5,545
2,252;6,545;5,525
2,264;6,53;5,53
2,277;6,545;5,535
2,288;6,525;5,545
2,301;6,54;5,53
2,315;6,525;5,535
2,327;6,525;5,545
2,34;6,54;5,54
2,354;6,525;5,535
2,365;6,545;5,54
2,379;6,545;5,535
2,39;6,535;5,52
2,402;6,525;5,525
2,415;6,525;5,53
2,429;6,525;5,54
2,44;6,54;5,545
2,452;6,545;5,525
2,464;6,525;5,525
2,476;6,54;5,525
2,488;6,525;5,545
2,501;6,55;5,52
2,514;6,54;5,525
2,527;6,525;5,525
2,54;6,54;5,525
2,554;6,54;5,52
2,572;6,54;5,51
2,584;6,525;5,52
2,598;6,55;5,51
2,611;6,525;5,5
2,624;6,53;5,51
2,634;6,54;5,52
2,648;6,525;5,54
2,66;6,55;5,53
2,67;6,55;5,525
2,682;6,525;5,51
2,695;6,54;5,51
2,707;6,55;5,53
2,72;6,535;5,54
2,734;6,515;5,515
2,747;6,55;5,515
2,761;6,55;5,52
2,772;6,525;5,525
2,785;6,54;5,53
2,799;6,545;5,525
2,811;6,545;5,525
2,824;6,54;5,535
2,837;6,545;5,545
2,85;6,545;5,545
2,863;6,53;5,52
2,876;6,535;5,535
2,887;6,545;5,54
2,898;6,545;5,54
2,91;6,54;5,555
2,92;6,535;5,56
2,932;6,53;5,55
2,943;6,535;5,55
2,954;6,515;5,55
2,966;6,535;5,555
2,988;6,525;5,535
3,001;6,545;5,545
3,014;6,545;5,555
3,027;6,525;5,555
3,04;6,55;5,54
3,054;6,535;5,54
3,065;6,545;5,545
3,077;6,54;5,565
3,09;6,54;5,55
3,103;6,535;5,535
3,116;6,54;5,56
3,129;6,54;5,555
3,14;6,55;5,56
3,149;6,54;5,57
3,161;6,54;5,57
3,172;6,535;5,56
3,184;6,53;5,55
3,197;6,545;5,55
3,208;6,525;5,55
3,22;6,545;5,545
3,232;6,54;5,535
3,245;6,525;5,56
3,257;6,535;5,555
3,269;6,54;5,53
3,284;6,515;5,54
3,297;6,53;5,55
3,31;6,535;5,55
3,323;6,525;5,54
3,336;6,54;5,535
3,348;6,53;5,565
3,359;6,545;5,56
3,37;6,54;5,555
3,383;6,53;5,555
3,395;6,525;5,555
3,415;6,535;5,535
3,428;6,55;5,53
3,441;6,525;5,545
3,454;6,535;5,54
3,467;6,55;5,54
3,479;6,525;5,545
3,489;6,535;5,545
3,5;6,545;5,535
3,513;6,525;5,525
3,525;6,525;5,52
3,536;6,545;5,53
3,546;6,525;5,525
3,557;6,525;5,535
3,568;6,54;5,535
3,58;6,525;5,54
3,592;6,54;5,545
3,604;6,535;5,54
3,616;6,535;5,53
3,629;6,54;5,53
3,641;6,545;5,525
3,652;6,545;5,525
3,663;6,515;5,535
3,674;6,54;5,53
3,686;6,525;5,535
3,698;6,535;5,555
3,712;6,535;5,54
3,724;6,535;5,535
3,738;6,525;5,545
3,75;6,55;5,545
3,764;6,53;5,53
3,776;6,55;5,51
3,787;6,545;5,53
3,8;6,54;5,53
3,812;6,53;5,54
3,834;6,54;5,535
3,847;6,525;5,54
3,861;6,54;5,52
3,874;6,55;5,545
3,886;6,525;5,555
3,898;6,55;5,55
3,912;6,515;5,535
3,927;6,535;5,56
3,939;6,525;5,555
3,952;6,525;5,55
3,966;6,535;5,535
3,978;6,53;5,56
3,99;6,525;5,55
4,003;6,53;5,54
4,016;6,55;5,53
4,029;6,535;5,535
4,042;6,535;5,56
4,055;6,525;5,54
4,068;6,54;5,53
4,082;6,53;5,55
4,095;6,545;5,565
4,107;6,54;5,56
4,119;6,54;5,545
4,131;6,53;5,545
4,144;6,54;5,535
4,158;6,54;5,57
4,171;6,54;5,545
4,184;6,525;5,54
4,196;6,54;5,555
4,209;6,545;5,56
4,222;6,53;5,55
4,235;6,535;5,545
4,256;6,54;5,545
4,268;6,535;5,54
4,281;6,525;5,55
4,293;6,535;5,555
4,306;6,54;5,55
4,317;6,54;5,565
4,329;6,525;5,565
4,34;6,55;5,55
4,352;6,54;5,535
4,365;6,54;5,565
4,379;6,54;5,57
4,392;6,54;5,545
4,403;6,53;5,555
4,415;6,54;5,545
4,428;6,525;5,565
4,441;6,54;5,55
4,454;6,535;5,56
4,467;6,545;5,54
4,48;6,54;5,54
4,492;6,525;5,56
4,505;6,545;5,55
4,518;6,535;5,54
4,533;6,525;5,54
4,544;6,545;5,545
4,557;6,535;5,55
4,571;6,525;5,525
4,583;6,525;5,53
4,596;6,535;5,54
4,609;6,525;5,535
4,621;6,525;5,545
4,634;6,525;5,515
4,647;6,54;5,51
4,66;6,53;5,515
4,677;6,545;5,525
4,689;6,545;5,515
4,702;6,53;5,51
4,715;6,53;5,53
4,726;6,535;5,52
4,737;6,54;5,535
4,75;6,55;5,52
4,762;6,515;5,525
4,773;6,53;5,51
4,784;6,525;5,505
4,796;6,55;5,535
4,808;6,525;5,545
4,818;6,545;5,545
4,831;6,54;5,55
4,844;6,54;5,535
4,857;6,545;5,545
4,87;6,54;5,54
4,884;6,55;5,53
4,896;6,54;5,535
